lat,lon,month,nsrdb_ghi,irena_ghi
7.6125,124.812502,1,110487,104206.02416992188
7.6125,124.812502,2,137490,110789.29901123047
7.6125,124.812502,3,156646,146654.84619140625
7.6125,124.812502,4,189000,146626.86157226562
7.6125,124.812502,5,185406,133182.40356445312
7.6125,124.812502,6,172245,110918.76220703125
7.6125,124.812502,7,152914,110581.84051513672
7.6125,124.812502,8,168883,118145.46966552734
7.6125,124.812502,9,157036,116659.22546386719
7.6125,124.812502,10,144269,115769.83642578125
7.6125,124.812502,11,140198,106583.48846435547
7.6125,124.812502,12,124495,106583.48846435547
8.0125,123.537502,1,107669,108382.28607177734
8.0125,123.537502,2,97441,111535.36987304688
8.0125,123.537502,3,173817,146149.62768554688
8.0125,123.537502,4,183915,144843.53637695312
8.0125,123.537502,5,182218,122018.17321777344
8.0125,123.537502,6,220742,99422.07336425781
8.0125,123.537502,7,198540,104827.67486572266
8.0125,123.537502,8,175648,103057.92999267578
8.0125,123.537502,9,172156,108878.50189208984
8.0125,123.537502,10,120118,111284.21783447266
8.0125,123.537502,11,110208,105930.11474609375
8.0125,123.537502,12,88486,105930.11474609375
9.9125,124.287502,1,137335,106104.8583984375
9.9125,124.287502,2,153512,108946.89178466797
9.9125,124.287502,3,192630,142586.4715576172
9.9125,124.287502,4,191838,164306.6864013672
9.9125,124.287502,5,188375,150695.556640625
9.9125,124.287502,6,187822,123651.17645263672
9.9125,124.287502,7,141621,119648.4375
9.9125,124.287502,8,161201,126545.8755493164
9.9125,124.287502,9,144451,124747.7798461914
9.9125,124.287502,10,137643,125593.17779541016
9.9125,124.287502,11,124333,109074.73754882812
9.9125,124.287502,12,122355,109074.73754882812
11.0875,122.887502,1,106066,112314.37683105469
11.0875,122.887502,2,130346,114792.32788085938
11.0875,122.887502,3,176904,156589.58435058597
11.0875,122.887502,4,188470,171590.8660888672
11.0875,122.887502,5,194863,151492.82836914065
11.0875,122.887502,6,185501,128701.49230957031
11.0875,122.887502,7,144578,120795.08972167967
11.0875,122.887502,8,169983,122752.9067993164
11.0875,122.887502,9,156662,118651.04675292967
11.0875,122.887502,10,133745,120036.0336303711
11.0875,122.887502,11,129958,116579.4448852539
11.0875,122.887502,12,106888,116579.4448852539
12.3375,125.112502,1,102758,93168.4799194336
12.3375,125.112502,2,104390,109019.74487304688
12.3375,125.112502,3,161711,148907.3028564453
12.3375,125.112502,4,178802,166961.34948730466
12.3375,125.112502,5,192018,149580.50537109375
12.3375,125.112502,6,197797,129348.92272949219
12.3375,125.112502,7,170711,119254.67681884767
12.3375,125.112502,8,172660,133058.80737304688
12.3375,125.112502,9,157227,116842.39196777344
12.3375,125.112502,10,119860,116984.85565185547
12.3375,125.112502,11,98683,103012.19177246094
12.3375,125.112502,12,88376,103012.19177246094
12.9375,123.862502,1,113835,103435.83679199219
12.9375,123.862502,2,110282,110660.55297851562
12.9375,123.862502,3,139763,148452.0263671875
12.9375,123.862502,4,157706,162660.85815429688
12.9375,123.862502,5,163210,151639.54162597656
12.9375,123.862502,6,156978,126775.0244140625
12.9375,123.862502,7,163407,114588.4017944336
12.9375,123.862502,8,156693,119235.59570312499
12.9375,123.862502,9,157378,105742.63000488281
12.9375,123.862502,10,149124,110580.42907714844
12.9375,123.862502,11,118987,101058.87603759767
12.9375,123.862502,12,134336,101058.87603759767
12.9625,120.837502,1,120884,120347.84698486328
12.9625,120.837502,2,156429,125722.7783203125
12.9625,120.837502,3,185691,146848.9532470703
12.9625,120.837502,4,193320,163086.9903564453
12.9625,120.837502,5,200518,116020.45440673828
12.9625,120.837502,6,183191,98194.9234008789
12.9625,120.837502,7,147495,88305.52673339844
12.9625,120.837502,8,163578,84223.66333007812
12.9625,120.837502,9,158341,69848.86932373047
12.9625,120.837502,10,141734,83941.88690185547
12.9625,120.837502,11,144405,101930.61065673828
12.9625,120.837502,12,117485,101930.61065673828
13.7625,122.337502,1,148174,104616.13464355469
13.7625,122.337502,2,153411,113459.58709716797
13.7625,122.337502,3,165955,155731.689453125
13.7625,122.337502,4,188885,167480.31616210938
13.7625,122.337502,5,198321,146305.3436279297
13.7625,122.337502,6,158092,125432.90710449219
13.7625,122.337502,7,170573,114488.21258544922
13.7625,122.337502,8,172877,117401.92413330078
13.7625,122.337502,9,162926,105044.3344116211
13.7625,122.337502,10,154189,105339.39361572266
13.7625,122.337502,11,157114,96495.92590332033
13.7625,122.337502,12,133526,96495.92590332033
16.262501,119.887502,1,147793,133357.33032226562
16.262501,119.887502,2,138214,141316.90979003906
16.262501,119.887502,3,177828,175045.1202392578
16.262501,119.887502,4,180404,180283.203125
16.262501,119.887502,5,156199,156031.03637695312
16.262501,119.887502,6,183915,122951.65252685547
16.262501,119.887502,7,166994,113347.23663330078
16.262501,119.887502,8,151281,103622.58911132812
16.262501,119.887502,9,153597,108433.83789062499
16.262501,119.887502,10,144799,126801.76544189453
16.262501,119.887502,11,127093,120830.2993774414
16.262501,119.887502,12,132428,120830.2993774414
17.587501,121.587502,1,121527,76101.82189941406
17.587501,121.587502,2,139543,90831.21490478516
17.587501,121.587502,3,163946,140194.48852539062
17.587501,121.587502,4,179508,166923.23303222656
17.587501,121.587502,5,183560,151950.86669921875
17.587501,121.587502,6,170827,147842.31567382812
17.587501,121.587502,7,147905,126483.7417602539
17.587501,121.587502,8,165727,117872.97821044922
17.587501,121.587502,9,150514,113022.88055419922
17.587501,121.587502,10,136224,108216.85791015625
17.587501,121.587502,11,132689,84548.69842529298
17.587501,121.587502,12,119631,84548.69842529298
